grna_name,population,risk_score,avg_other_risk,relative_risk,recommendation
EMX1_site1,AFR,0.0225,0.0093,2.42,CAUTION in AFR
EMX1_site1,AFR,0.0237,0.0171,1.39,CAUTION in AFR
EMX1_site1,AFR,0.0227,0.0161,1.41,CAUTION in AFR
EMX1_site1,AFR,0.0334,0.0268,1.25,CAUTION in AFR
EMX1_site1,AFR,0.0271,0.0205,1.32,CAUTION in AFR
EMX1_site1,AFR,0.0237,0.0171,1.39,CAUTION in AFR
EMX1_site1,AFR,0.025,0.0184,1.36,CAUTION in AFR
EMX1_site1,AFR,0.0208,0.0142,1.46,CAUTION in AFR
EMX1_site1,AFR,0.0306,0.024,1.27,CAUTION in AFR
EMX1_site1,AFR,0.0354,0.0288,1.23,CAUTION in AFR
EMX1_site1,AFR,0.0262,0.0196,1.34,CAUTION in AFR
EMX1_site1,AFR,0.0271,0.0205,1.32,CAUTION in AFR
EMX1_site1,AFR,0.0287,0.0221,1.3,CAUTION in AFR
EMX1_site1,AFR,0.022,0.0154,1.43,CAUTION in AFR
EMX1_site1,AFR,0.0229,0.0163,1.41,CAUTION in AFR
EMX1_site1,AFR,0.023,0.0186,1.24,CAUTION in AFR
VEGFA_site1,AFR,0.0225,0.009,2.5,CAUTION in AFR
VEGFA_site1,AFR,0.0392,0.0325,1.21,CAUTION in AFR
VEGFA_site1,AFR,0.0279,0.0212,1.32,CAUTION in AFR
VEGFA_site1,AFR,0.0348,0.0281,1.24,CAUTION in AFR
VEGFA_site1,AFR,0.0213,0.0145,1.46,CAUTION in AFR
VEGFA_site1,AFR,0.025,0.0182,1.37,CAUTION in AFR
VEGFA_site1,AFR,0.0227,0.0159,1.42,CAUTION in AFR
VEGFA_site1,AFR,0.0318,0.025,1.27,CAUTION in AFR
VEGFA_site1,AFR,0.0252,0.0184,1.37,CAUTION in AFR
VEGFA_site1,AFR,0.0206,0.0139,1.49,CAUTION in AFR
VEGFA_site1,AFR,0.0331,0.0264,1.26,CAUTION in AFR
VEGFA_site1,AFR,0.0278,0.021,1.32,CAUTION in AFR
VEGFA_site1,AFR,0.0263,0.0196,1.35,CAUTION in AFR
VEGFA_site1,AFR,0.0301,0.0233,1.29,CAUTION in AFR
VEGFA_site1,AFR,0.0227,0.016,1.42,CAUTION in AFR
VEGFA_site1,AFR,0.0734,0.0599,1.23,CAUTION in AFR
VEGFA_site1,AFR,0.0337,0.0279,1.21,CAUTION in AFR
FANCF_site1,AFR,0.0225,0.0086,2.62,CAUTION in AFR
FANCF_site1,AFR,0.0344,0.0275,1.25,CAUTION in AFR
FANCF_site1,AFR,0.0259,0.019,1.37,CAUTION in AFR
FANCF_site1,AFR,0.0206,0.0137,1.51,CAUTION in AFR
FANCF_site1,AFR,0.0248,0.0178,1.39,CAUTION in AFR
FANCF_site1,AFR,0.0287,0.0218,1.32,CAUTION in AFR
FANCF_site1,AFR,0.0332,0.0263,1.26,CAUTION in AFR
FANCF_site1,AFR,0.0344,0.0275,1.25,CAUTION in AFR
FANCF_site1,AFR,0.0992,0.0783,1.27,CAUTION in AFR
FANCF_site1,AFR,0.0278,0.0209,1.33,CAUTION in AFR
FANCF_site1,AFR,0.0256,0.0187,1.37,CAUTION in AFR
FANCF_site1,AFR,0.0278,0.0209,1.33,CAUTION in AFR
FANCF_site1,AFR,0.0492,0.0408,1.2,CAUTION in AFR
RUNX1_site1,AFR,0.0225,0.0093,2.42,CAUTION in AFR
RUNX1_site1,AFR,0.0235,0.0169,1.39,CAUTION in AFR
RUNX1_site1,AFR,0.0212,0.0146,1.45,CAUTION in AFR
RUNX1_site1,AFR,0.0203,0.0137,1.48,CAUTION in AFR
RUNX1_site1,AFR,0.023,0.0164,1.4,CAUTION in AFR
RUNX1_site1,AFR,0.0215,0.0149,1.44,CAUTION in AFR
RUNX1_site1,AFR,0.0239,0.0173,1.38,CAUTION in AFR
RUNX1_site1,AFR,0.0237,0.0171,1.39,CAUTION in AFR
RUNX1_site1,AFR,0.0288,0.0222,1.3,CAUTION in AFR
RUNX1_site1,AFR,0.0212,0.0146,1.45,CAUTION in AFR
RUNX1_site1,AFR,0.0287,0.0221,1.3,CAUTION in AFR
RUNX1_site1,AFR,0.0205,0.0139,1.47,CAUTION in AFR
RUNX1_site1,AFR,0.0559,0.046,1.22,CAUTION in AFR
PCSK9_site1,AFR,0.0225,0.0086,2.62,CAUTION in AFR
PCSK9_site1,AFR,0.0246,0.0177,1.39,CAUTION in AFR
PCSK9_site1,AFR,0.0249,0.018,1.39,CAUTION in AFR
PCSK9_site1,AFR,0.0243,0.0173,1.4,CAUTION in AFR
PCSK9_site1,AFR,0.0289,0.0219,1.32,CAUTION in AFR
PCSK9_site1,AFR,0.0215,0.0145,1.48,CAUTION in AFR
PCSK9_site1,AFR,0.0214,0.0144,1.48,CAUTION in AFR
PCSK9_site1,AFR,0.0234,0.0164,1.42,CAUTION in AFR
PCSK9_site1,AFR,0.0234,0.0164,1.42,CAUTION in AFR
PCSK9_site1,AFR,0.0243,0.0173,1.4,CAUTION in AFR
PCSK9_site1,AFR,0.0243,0.0173,1.4,CAUTION in AFR
PCSK9_site1,AFR,0.0208,0.0138,1.5,CAUTION in AFR
PCSK9_site1,AFR,0.0249,0.018,1.39,CAUTION in AFR
PCSK9_site1,AFR,0.0228,0.0158,1.44,CAUTION in AFR
PCSK9_site1,AFR,0.0242,0.0196,1.24,CAUTION in AFR
PCSK9_site1,AFR,0.062,0.0515,1.2,CAUTION in AFR
